,movieId,imdbId,title,genre
0,1,114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,113497,Jumanji (1995),Adventure|Children|Fantasy
2,3,113228,Grumpier Old Men (1995),Comedy|Romance
3,4,114885,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,113041,Father of the Bride Part II (1995),Comedy
5,6,113277,Heat (1995),Action|Crime|Thriller
6,7,114319,Sabrina (1995),Comedy|Romance
7,8,112302,Tom and Huck (1995),Adventure|Children
8,9,114576,Sudden Death (1995),Action
9,10,113189,GoldenEye (1995),Action|Adventure|Thriller
10,11,112346,"American President, The (1995)",Comedy|Drama|Romance
11,12,112896,Dracula: Dead and Loving It (1995),Comedy|Horror
12,13,112453,Balto (1995),Adventure|Animation|Children
13,14,113987,Nixon (1995),Drama
14,15,112760,Cutthroat Island (1995),Action|Adventure|Romance
15,16,112641,Casino (1995),Crime|Drama
16,17,114388,Sense and Sensibility (1995),Drama|Romance
17,18,113101,Four Rooms (1995),Comedy
18,19,112281,Ace Ventura: When Nature Calls (1995),Comedy
19,20,113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,21,113161,Get Shorty (1995),Comedy|Crime|Thriller
21,22,112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,23,112401,Assassins (1995),Action|Crime|Thriller
23,24,114168,Powder (1995),Drama|Sci-Fi
24,25,113627,Leaving Las Vegas (1995),Drama|Romance
25,26,114057,Othello (1995),Drama
26,27,114011,Now and Then (1995),Children|Drama
27,28,114117,Persuasion (1995),Drama|Romance
28,29,112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,31,112792,Dangerous Minds (1995),Drama
31,32,114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,34,112431,Babe (1995),Children|Drama
33,36,112818,Dead Man Walking (1995),Crime|Drama
34,38,113442,It Takes Two (1995),Children|Comedy
35,39,112697,Clueless (1995),Comedy|Romance
36,40,112749,"Cry, the Beloved Country (1995)",Drama
37,41,114279,Richard III (1995),Drama|War
38,42,112819,Dead Presidents (1995),Action|Crime|Drama
39,43,114272,Restoration (1995),Drama
40,44,113855,Mortal Kombat (1995),Action|Adventure|Fantasy
41,47,114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
42,48,114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
43,50,114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
44,53,110299,Lamerica (1994),Adventure|Drama
45,54,112499,"Big Green, The (1995)",Children|Comedy
46,60,113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
47,66,116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
48,70,116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
49,77,113973,Nico Icon (1995),Documentary
50,80,112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
51,81,114660,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
52,87,116151,Dunston Checks In (1996),Children|Comedy
53,97,113247,"Hate (Haine, La) (1995)",Crime|Drama
54,99,113283,Heidi Fleiss: Hollywood Madam (1995),Documentary
55,101,115734,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
56,103,118040,Unforgettable (1996),Mystery|Sci-Fi|Thriller
57,107,117110,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
58,108,112646,Catwalk (1996),Documentary
59,111,75314,Taxi Driver (1976),Crime|Drama|Thriller
60,116,112373,Anne Frank Remembered (1995),Documentary
61,117,115033,"Young Poisoner's Handbook, The (1995)",Crime|Drama
62,126,110647,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
63,128,110217,Jupiter's Wife (1994),Documentary
64,132,113451,Jade (1995),Thriller
65,137,113756,Man of the Year (1995),Documentary
66,149,109093,Amateur (1994),Crime|Drama|Thriller
67,162,109508,Crumb (1994),Documentary
68,177,113690,Lord of Illusions (1995),Horror
